#SampleID	shannon_entropy
11369.p16.1A	4.8353511210191
11369.p29.1A	0.9402534899547292
11369.p19.3B	1.546721227812995
11369.p13.3A	4.533476179126531
11369.p24.2B	2.6778110876911683
11369.p22.1A	1.438301818602773
11369.p31.3A	4.715757900864125
11369.p26.3A	0.6803624792781502
11369.p34.1A	1.4241015926686285
11369.p18.1A	3.1376905834510325
11369.p20.1A	2.530312442572351
11369.p16.1B	4.815441078568862
11369.p29.1B	1.123921189607474
11369.p24.3A	3.586079482831912
11369.p13.3B	4.458580020272027
11369.p22.1B	1.616954245805523
11369.p31.3B	4.82868409697973
11369.p34.1B	1.2776367239203743
11369.p18.1B	2.8896742128620163
11369.p20.1B	2.7099885958752354
11369.p26.3B	0.8633687240401784
11369.p16.2A	4.507615367289809
11369.p24.3B	3.369877862303914
11369.p29.2A	0.4010138363625808
11369.p36.2B	3.8729003585979385
11369.p34.2A	2.4387392924668747
11369.p32.1A	2.7845419551679935
11369.p22.2A	0.8807798996093825
11369.p18.2A	4.431065485204418
11369.p20.2A	1.8812803488432075
11369.p36.3A	4.137788867391348
11369.p39.1A	3.7834185734914128
11369.p25.1A	5.059818132829183
11369.p27.1A	0.2667146319199808
11369.p32.1B	2.8481638144422985
11369.p34.2B	2.3200838673726616
11369.p18.2B	4.750318675240878
11369.p29.2B	0.418039193462396
11369.p20.2B	2.0237393052469907
11369.p25.1B	5.115124974058707
11369.p39.1B	4.0053895160601956
11369.p22.2B	0.9298461910299096
11369.p36.3B	4.275874625767394
11369.p32.2A	1.5994862628717164
11369.p34.3A	3.13212167822206
11369.p18.3A	5.399732171996225
11369.p20.3A	3.020627248040261
11369.p27.1B	0.23958744740918764
11369.p22.3A	2.0210304323274397
11369.p29.3A	0.6630103862142592
11369.p25.2A	4.24143682765927
11369.p37.1A	3.2491043869997918
11369.p39.2A	4.340583756778707
11369.p32.2B	1.658716232508126
11369.p34.3B	3.0205715229136096
11369.p29.3B	0.8534419954862006
11369.p27.2A	1.4425065753296837
11369.p18.3B	5.408794343116085
11369.p22.3B	2.115647038458
11369.p20.3B	3.1185592922659744
11369.p37.1B	3.1563481332200123
11369.p25.2B	4.294228747046517
11369.p39.2B	4.077380967730174
11369.p32.3A	1.5109723131736548
11369.p27.2B	1.481047698310108
11369.p35.1A	2.9496867048723643
11369.p21.1A	2.767495767080738
11369.p23.1A	4.682478730472006
11369.p41.2B	4.562532169771029
11369.p39.3A	3.808371075735251
